caminhoneiro;8;5;0;0;1
básico;0;9;2;2;1
beneficiar;4;0;1;6;3
bater;2;2;0;2;2
avançar;1;2;3;5;2
autoritarismo;0;0;12;1;1
anunciar;7;1;0;4;2
alternativo;2;1;1;11;0
alimentar;7;2;0;2;2
acompanhar;3;0;0;4;5
abertura;4;1;2;1;1
ódio;0;0;5;5;4
época;1;0;4;5;2
uscifrão;2;4;0;0;5
trajetória;1;1;0;10;0
tradição;0;0;4;4;3
time;1;0;0;5;3
teitelbaum;0;0;0;11;0
superior;1;7;2;0;1
solução;2;0;2;2;7
socialista;0;0;7;0;6
rússia;1;2;0;1;8
rodada;2;11;0;1;0
refletir;6;0;2;3;1
reconhecer;1;1;4;5;3
quarta_feira;1;1;0;3;8
policial;0;5;4;0;1
piso;0;10;0;0;0
onda;1;1;5;4;2
março;1;3;1;2;2
latino;0;0;0;11;3
judiciário;0;2;6;2;4
influência;0;0;3;7;1
independente;2;1;2;3;2
implementar;0;8;2;3;1
idoso;2;0;0;8;1
idade;1;0;0;5;1
governante;0;3;7;1;1
falso;0;0;4;6;4
expressar;3;0;1;9;1
exercer;0;0;8;3;2
espécie;1;0;5;5;0
duro;3;4;4;0;3
discutir;1;4;1;5;1
dificuldade;3;7;0;4;0
desinformação;0;0;8;3;3
demorar;1;5;1;0;3
demonstrar;1;1;7;1;4
declínio;1;1;7;4;0
costumar;1;3;3;6;1
construir;1;0;1;5;4
comprar;1;6;1;1;0
combater;0;3;5;4;2
clássico;1;1;2;8;1
calamidade;1;11;0;1;0
avaliação;3;2;2;4;1
atuar;2;3;2;4;1
atacar;1;0;5;5;3
aspecto;0;2;3;7;0
ampliar;2;8;1;0;1
alcançar;3;3;2;5;1
administrativo;5;8;0;0;0
abandonar;2;1;1;3;3
óbvio;0;4;0;6;3
trumpismo;0;0;2;3;6
trabalhar;5;0;0;6;2
tesouro;2;8;0;2;0
suficiente;0;2;0;2;8
segunda_feira;3;2;0;0;1
salvar;2;2;2;5;1
rodrigo;0;2;0;1;2
resistência;4;1;1;4;1
reportagem;7;0;1;3;0
religioso;0;0;0;11;1
reação;6;2;1;1;3
pôr;2;0;1;7;3
prova;0;3;1;3;1
presente;0;2;4;3;4
postura;2;2;3;6;0
positivo;1;5;0;5;1
poderoso;0;0;1;8;3
pobreza;1;2;0;9;1
planalto;4;7;1;1;0
piorar;3;7;0;1;1
pib;0;12;0;0;1
personagem;0;0;0;4;0
permanecer;2;2;0;5;3
otavio;2;0;2;2;4
